formulaRank,molecularFormula,adduct.x,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality,target_Compound,adduct.y,MetaboAnnotation_status
1,C4H7O3P,[M + K]+,C4H7KO3P+,Fatty acids,0.326,Fatty acyls,0.048,Halogenated fatty acids,0.003,Organic acids and derivatives,0.431,Organic phosphonic acids and derivatives,0.471,Organic phosphonic acids,0.555,NA,NA,Organic phosphonic acids,0.555,Organic compounds; Organophosphorus compounds; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities,172.978,45,0.757,801747166278386800,801746883150247800,2011,NA,NA,NA,FALSE
1,C2H3O2P,[M + K]+,C2H3KO2P+,Fatty acids,0.556,Fatty acyls,0.354,Oxygenated hydrocarbons,0.178,Organoheterocyclic compounds,0.431,Phosphacyclic compounds,0.502,NA,NA,NA,NA,Phosphacyclic compounds,0.502,Organic compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Phosphacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,128.951,46,0.761,801747176306980900,801746883200579500,2024,NA,NA,NA,FALSE
1,C6H12N2O2,[M + H]+,C6H13N2O2+,Amino acids and Peptides,0.981,Small peptides,0.989,Aminoacids,0.991,Organic acids and derivatives,0.998,Carboxylic acids and derivatives,0.994,"Amino acids, peptides, and analogues",0.958,Amino acids and derivatives,0.958,Alpha amino acids,0.608,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",145.099,48,0.8,801747147907318900,801746883250911100,2277,NA,NA,NA,FALSE
1,C11H21NO7,[M + H]+,C11H22NO7+,Amino acids and Peptides,0.951,Small peptides,0.42,Aminoacids,0.407,Organic acids and derivatives,0.941,Carboxylic acids and derivatives,0.962,"Amino acids, peptides, and analogues",0.969,Amino acids and derivatives,0.969,Alpha amino acids,0.894,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Dialkylamines; Polyols; Alpha amino acids; Amines; Secondary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",280.139,48,0.804,801747149639567500,801746883301242800,2113,NA,NA,NA,FALSE
1,C5H13NS2,[M + H]+,C5H14NS2+,Fatty acids,0.81,Fatty acyls,0.704,Primary amides,0.029,Organic nitrogen compounds,0.841,Organonitrogen compounds,0.832,NA,NA,NA,NA,Organonitrogen compounds,0.832,Organic compounds; Organosulfur compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities,152.057,48,0.805,801747143272610300,801746883355768700,2138,NA,NA,NA,FALSE
1,C11H17NO8,[M - H2O + H]+,C11H16NO7+,Carbohydrates,0.988,Aminosugars and aminoglycosides,0.959,Aminosugars,0.984,Organic acids and derivatives,0.987,Carboxylic acids and derivatives,0.982,"Amino acids, peptides, and analogues",0.57,Amino acids and derivatives,0.567,Alpha amino acids and derivatives,0.582,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Hemiacetals; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hexoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",274.092,48,0.806,801747156522426800,801746883406100400,2175,NA,NA,NA,FALSE
1,C5H2N4,[M + H3N + H]+,C5H6N5+,Alkaloids,0.986,Histidine alkaloids,0.232,Imidazole alkaloids,0.233,Organoheterocyclic compounds,1,Imidazopyrimidines,0.867,Purines and purine derivatives,0.872,NA,NA,Purines and purine derivatives,0.872,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organonitrogen compounds; Azoles; Diazines; Imidazopyrimidines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities,136.062,48,0.807,801747168727863800,801746883510958e3,2201,NA,Adenine,[M+H]+,TRUE
1,C5H7NO3,[M + H]+,C5H8NO3+,Amino acids and Peptides,0.998,Small peptides,0.993,Aminoacids,0.993,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.918,Amino acids and derivatives,0.917,Proline and derivatives,0.715,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",130.05,48,0.808,801747166433576300,801746883611621200,2289,NA,Pyroglutamic acid,[M+H]+,TRUE
1,C6H8N2O3,[M - H2O + H]+,C6H7N2O2+,Amino acids and Peptides,0.804,Small peptides,0.619,Aminoacids,0.634,Organoheterocyclic compounds,0.929,Azoles,0.531,NA,NA,NA,NA,Azoles,0.531,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,139.051,48,0.808,801747143016757600,801746883661952900,2275,NA,NA,NA,FALSE
1,C11H23NO2,[M + H]+,C11H24NO2+,Fatty acids,0.31,Fatty amides,0.418,N-acyl ethanolamines (endocannabinoids),0.178,Organic nitrogen compounds,1,Organonitrogen compounds,1,Amines,0.981,Alkanolamines,0.908,"1,2-aminoalcohols",0.832,"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",202.181,48,0.808,801747142697990300,801746883708090200,2193,NA,NA,NA,FALSE
1,C6H9NO2,[M + H]+,C6H10NO2+,Alkaloids,0.799,Lysine alkaloids,0.622,Primary amides,0.754,Organoheterocyclic compounds,0.87,Piperidines,0.525,Piperidinones,0.844,Piperidinediones,0.897,Piperidinediones,0.897,Organic compounds; Organoheterocyclic compounds; Lactams; Delta lactams; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Piperidinones; Piperidinediones; Carboxylic acid imides; N-unsubstituted carboxylic acid imides; Primary carboxylic acid amides; Carbonyl compounds; Dicarboximides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,128.071,49,0.81,801747166601348700,801746883901028200,2356,NA,NA,NA,FALSE
1,C6H6N2O2,[M - H2O + H]+,C6H5N2O+,Alkaloids,0.87,Histidine alkaloids,0.918,Imidazole alkaloids,0.919,Organoheterocyclic compounds,0.999,Azoles,0.61,Imidazoles,0.663,Substituted imidazoles,0.412,Imidazolyl carboxylic acids and derivatives,0.651,Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,121.04,49,0.81,801747148498716e3,801746883951359900,2331,NA,NA,NA,FALSE
1,C9H8O3,[M + H]+,C9H9O3+,Shikimates and Phenylpropanoids,0.981,Phenylpropanoids (C6-C3),0.984,Cinnamic acids and derivatives,0.988,Phenylpropanoids and polyketides,0.872,Cinnamic acids and derivatives,0.788,Hydroxycinnamic acids and derivatives,0.772,Coumaric acids and derivatives,0.792,Coumaric acids,0.766,Organic compounds; Styrenes; Coumaric acids and derivatives; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Hydroxycinnamic acids; Cinnamic acids; Coumaric acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,165.054,49,0.813,801747159265503700,801746884001691500,2310,NA,NA,NA,FALSE
1,C9H11NO3,[M + H]+,C9H12NO3+,Amino acids and Peptides,1,Small peptides,1,Aminoacids,1,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.999,Amino acids and derivatives,0.999,Tyrosine and derivatives,0.746,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",182.082,49,0.816,801747148662294e3,801746884052023200,2384,NA,Tyrosine,[M+H]+,TRUE
1,C9H11NO3,[M + H]+,C9H12NO3+,Amino acids and Peptides,1,Small peptides,1,Aminoacids,1,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.999,Amino acids and derivatives,0.999,Tyrosine and derivatives,0.746,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",182.082,49,0.816,801747148662294e3,801746884052023200,2384,NA,Tyrosine,[M+H]+,TRUE
1,C7H8O3,[M - H2O + H]+,C7H7O2+,Polyketides,0.496,Aromatic polyketides,0.405,Simple aromatic polyketides,0.497,Benzenoids,0.957,Phenols,0.924,Benzenediols,0.75,NA,NA,Benzenediols,0.75,Organic compounds; Phenols; Organic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,123.043,50,0.834,801747151711555500,801746884194629500,2215,NA,NA,NA,FALSE
1,C7H13ClO3,[M + Na]+,C7H13ClNaO3+,Fatty acids,0.525,Fatty Acids and Conjugates,0.288,Simple phenolic acids,0.333,Benzenoids,0.64,Benzene and substituted derivatives,0.736,Halobenzenes,0.813,Chlorobenzenes,0.85,Chlorobenzenes,0.85,Organic compounds; Halobenzenes; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,203.043,51,0.857,801747153032762400,801746884295292800,2676,NA,NA,NA,FALSE
1,C12H23NO7,[M + H]+,C12H24NO7+,Amino acids and Peptides,0.672,Small peptides,0.283,Aminoacids,0.177,Organic acids and derivatives,0.995,Carboxylic acids and derivatives,0.995,"Amino acids, peptides, and analogues",0.993,Amino acids and derivatives,0.993,L-alpha-amino acids,0.507,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Heterocyclic fatty acids; Oxanes; Glycosyl compounds; C-glycosyl compounds; Dialkylamines; Polyols; Alpha amino acids; Amines; Secondary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",294.155,52,0.86,801747150461651500,801746884244961200,2519,NA,N-Fructosyl isoleucine or isomer,[M+H]+,TRUE
1,C6H13NO2,[M + H]+,C6H14NO2+,Amino acids and Peptides,1,Small peptides,1,Aminoacids,1,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",1,Amino acids and derivatives,1,Alpha amino acids,0.952,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",132.102,52,0.873,801747146871325300,801746884345624600,2438,NA,Leucine|isoleucine,[M+H]+,TRUE
1,C8H8O,[M + H]+,C8H9O+,Shikimates and Phenylpropanoids,0.953,Phenylpropanoids (C6-C3),0.467,Cinnamic acids and derivatives,0.387,Benzenoids,0.99,Phenols,0.64,1-hydroxy-2-unsubstituted benzenoids,0.619,NA,NA,1-hydroxy-2-unsubstituted benzenoids,0.619,Organic compounds; Phenols; Primary alcohols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,121.065,52,0.873,801747152604942800,801746884395956200,2539,NA,NA,NA,FALSE
1,C7H13NO4,[M + H]+,C7H14NO4+,Amino acids and Peptides,0.978,Small peptides,0.998,Aminoacids,0.856,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.998,Amino acids and derivatives,0.997,N-acyl-alpha amino acids,0.978,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",176.092,52,0.874,801747148523881900,801746884442093600,2573,NA,Calystegine B1,[M+H]+,TRUE
1,C11H12N2O3,[M + H]+,C11H13N2O3+,Amino acids and Peptides,0.993,Small peptides,0.996,Aminoacids,0.995,Organic acids and derivatives,1,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.997,Amino acids and derivatives,0.997,Alpha amino acids,0.952,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Phenols; Tryptamines and derivatives; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Indolyl carboxylic acids and derivatives; Serotonins; Carbonyl compounds; Substituted pyrroles; Alpha amino acids; Benzenoids; Amines; Primary amines; Indoles; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Hydroxyindoles; Amino acids; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",221.092,53,0.886,801747151732527e3,801746884572117e3,2591,NA,5-hydroxy-L-tryptophan,[M+H]+,TRUE
1,C11H20N2O3,[M + H]+,C11H21N2O3+,Fatty acids,0.524,Small peptides,0.675,N-acyl amines,0.115,Organic acids and derivatives,1,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.848,Amino acids and derivatives,0.848,Amino acids,0.76,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",229.155,57,0.95,801747163011020500,801746884618254300,2700,NA,NA,NA,FALSE
1,C6H6N2O,[M + H]+,C6H7N2O+,Alkaloids,0.994,Nicotinic acid alkaloids,0.986,Pyridine alkaloids,0.986,Organoheterocyclic compounds,1,Pyridines and derivatives,0.996,Pyridinecarboxylic acids and derivatives,0.948,Pyridinecarboxamides,0.897,Nicotinamides,0.661,Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Pyridinecarboxylic acids and derivatives; Pyridinecarboxamides; Primary carboxylic acid amides; Nicotinamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,123.056,57,0.956,801747149891225900,801746884660197400,2651,NA,NA,NA,FALSE
1,CH4N3O3S,[M + K]+,CH4KN3O3S+,Alkaloids,0.67,Histidine alkaloids,0.18,Imidazole alkaloids,0.181,Organic acids and derivatives,0.572,Organic sulfuric acids and derivatives,0.677,NA,NA,NA,NA,Organic sulfuric acids and derivatives,0.677,"Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organic sulfuric acids and derivatives; Organic nitro compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",176.962,58,0.968,801747154412689700,801746884702140400,2807,NA,NA,NA,FALSE
1,C11H15N5O4S,[M + H]+,C11H16N5O4S+,Carbohydrates,1,Nucleosides,1,Purine nucleosides,0.999,"Nucleosides, nucleotides, and analogues",0.978,5'-deoxyribonucleosides,0.996,5'-deoxy-5'-thionucleosides,0.992,NA,NA,5'-deoxy-5'-thionucleosides,0.992,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Thioethers; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Polyols; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 1,2-diols; Tetrahydrofurans; 6-aminopurines; Dialkylthioethers; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 5'-deoxyribonucleosides; 5'-deoxy-5'-thionucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",314.092,61,1.012,801747156455317900,801746884773443600,2820,NA,5'-Deoxy-5'-(methylsulfinyl)adenosine,[M+H]+,TRUE
1,C6H9NO3,[M + H]+,C6H10NO3+,Amino acids and Peptides,0.994,Small peptides,0.996,Aminoacids,0.995,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.979,Amino acids and derivatives,0.978,Proline and derivatives,0.865,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",144.066,63,1.055,801747148301583600,801746884861524e3,2888,NA,NA,NA,FALSE
1,C9H15NO4,[M + H]+,C9H16NO4+,Amino acids and Peptides,0.97,Small peptides,0.97,Aminoacids,0.961,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.997,"Amino acids, peptides, and analogues",0.964,Amino acids and derivatives,0.964,Alpha amino acids,0.757,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",202.108,63,1.055,8.0174715596458394e+017,801746884903467e3,2847,NA,NA,NA,FALSE
1,C17H22N2O8,[M + H]+,C17H23N2O8+,Alkaloids,0.943,Tryptophan alkaloids,0.993,Simple indole alkaloids,0.625,"Nucleosides, nucleotides, and analogues",0.729,Nucleoside and nucleotide analogues,0.699,1-pyranosylindoles,0.936,NA,NA,1-pyranosylindoles,0.936,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alpha amino acids and derivatives; Pyrroles; Alcohols and polyols; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Hexoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; Glycosylamines; Substituted pyrroles; Polyols; Benzenoids; Indoles; 1-pyranosylindoles; Nucleoside and nucleotide analogues; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; N-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",383.145,66,1.099,801747172397884700,801746885067044900,2950,NA,NA,NA,FALSE
1,C4H12N3O3,[M + H]+,C4H13N3O3+,Amino acids and Peptides,0.762,Small peptides,0.829,Aminoacids,0.794,Organic acids and derivatives,0.877,Carboxylic acids and derivatives,0.71,"Amino acids, peptides, and analogues",0.594,Amino acids and derivatives,0.59,Amino acids and derivatives,0.59,"Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",151.097,70,1.162,801747152529445400,801746885108987900,3023,NA,NA,NA,FALSE
1,C9H10O2,[M + H]+,C9H11O2+,Shikimates and Phenylpropanoids,0.908,Phenylpropanoids (C6-C3),0.947,Cinnamic acids and derivatives,0.908,Benzenoids,0.985,Phenols,0.632,Methoxyphenols,0.694,NA,NA,Methoxyphenols,0.694,Organic compounds; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities,151.076,70,1.162,801747152684634800,801746885150931e3,3033,NA,NA,NA,FALSE
