Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45
2962,11.652,239.14977,Unknown,[2M+Na]+,adduct linked to 134_[M+H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,59.08,Orbi_P_E2_WS03A,239.14977:744774 240.15312:0 241.15648:0,,2649355,2582253,2937834,2379332,2391035,2419388,2977407,3105778,2855181,2559866.29166667,2979455.5,215499.142624073,125311.180358887
2963,4.518,239.1498,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,1.53,Orbi_P_E2_EXBLANKB,239.1498:52701 240.15315:0 241.15651:20731,,162625,218395,177184,132327,102489,102427,62121,172609,180859,149241.063802083,138529.803385417,45619.2733132159,66300.1668647685
2964,0.585,239.17543,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,6.05,Orbi_P_E2_WS03C,239.17543:56062 240.17878:0 241.18214:0,,0,2135,3390,0,3938,6466,87122,87102,116095,2654.84151204427,96773.1692708333,2492.98229955958,16733.2129085705
2965,1.282,239.17563,Unknown,[M+H]+,,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,6.77,Orbi_P_E2_WS03B,239.17563:82272 240.17898:12172 241.18234:12160,,0,0,2232,0,0,0,428479,431935,430902,372.081624348958,430438.875,911.410122320877,1774.06085492922
2966,0.458,239.89357,Unknown,[M+H]+,,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,9.14,Orbi_P_E2_WS03C,239.89357:14288 240.89692:19735 241.90028:353280,,0,2080,0,0,0,0,9002,19532,27205,346.648518880208,18579.7210286458,849.111991348051,9138.59409494836
2967,11.657,239.96696,Unknown,[M+DMSO+H]+,adduct linked to 1183_[M+H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,393.2,Orbi_P_E2_EXBLANKB,239.96696:898391 240.97031:162979 241.97367:186410,,1480898,1898845,1539183,1660518,1627159,1623964,1529273,1626556,1730462,1638427.625,1628763.91666667,143740.579914411,100612.477543818
2968,2.56,240.1004,Unknown,[M+K]+,adduct linked to 2570_[M+Na]+,0.333,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,20.49,Orbi_P_E2_EXBLANKA,240.1004:643437 241.10375:108305 242.10711:50867,62.89389:2785,1845281,53141,68787,0,0,0,0,0,0,327868.270182292,0,743993.735788647,0
2969,3.35,240.10049,Unknown,[M+K]+,adduct linked to 2571_[M+Na]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.05,Orbi_P_E2_EXBLANKA,240.10049:91437 241.10384:16273 242.1072:8904,,233503,16946,15011,0,0,0,0,0,1250,44243.4345703125,416.593058268229,93049.7340723836,721.560343001075
2970,3.823,240.10051,Unknown,[2M+3H2O+2H]+,adduct linked to 434_[M+CH3OH+H]+,0.333,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,56.55,Orbi_P_E2_EXBLANKA,240.10051:773773 241.10386:92055 242.10722:62208,55.28365:2118 61.05911:2673,2130711,402904,413384,1297,0,0,0,0,0,491382.532267253,0,827575.605015556,0
2971,2.645,240.10063,Unknown,[M+H]+,adduct linked to 3790_[M+CH3OH+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,9,Orbi_P_E2_EXBLANKA,240.10063:116795 241.10398:18266 242.10734:12340,,457730,1670,9982,0,0,0,0,0,0,78230.4158121745,0,185956.720015898,0
2972,2.459,240.12134,Unknown,[M+H]+,adduct linked to 4557_[M+IsoProp+H]+,0.333,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,12.25,Orbi_P_E2_EXBLANKA,240.12134:400524 241.12469:50141 242.12805:46766,93.72047:2426 104.36187:2454 194.11566:27196,1546599,70451,106827,1613,1489,4500,7331,7306,7997,288579.937052409,7544.51188151042,617850.991425997,391.901878984817
2973,4.361,240.15813,Unknown,[M+ACN+Na]+,adduct linked to 1555_[M+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.35,Orbi_P_E2_EXBLANKA,240.15813:86059 241.16148:9663 242.16484:28460,,678685,85306,70223,22244,18922,15157,57601,30166,33700,148422.958333333,40489.0501302083,261430.066161216,14924.5335775947
2974,2.524,240.16,Unknown,[M+H]+,similar chromatogram in higher mz_8134; similar chromatogram in higher mz_10258,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,6.21,Orbi_P_E2_WS03C,240.16:31101 241.16335:0 242.16671:0,,1689,12285,5608,2287,3547,1275,91004,91869,92759,4448.27221679688,91877.5260416667,4145.56131776771,877.949712450061
2975,5.856,240.16022,Unknown,[M+IsoProp+Na+H]+,adduct linked to 1585_[M+Na]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.16,Orbi_P_E2_EXBLANKA,240.16022:106883 241.16357:17153 242.16693:0,,324591,5603,10438,26014,8176,7570,5445,48509,18446,63732.217203776,24133.4682617188,128007.855920033,22088.2559293708
2976,2.6,240.16045,Unknown,[M+CH3OH+H]+,adduct linked to 2602_[M+NH4]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.07,Orbi_P_E2_WS03B,240.16045:24864 241.1638:0 242.16716:0,,1668,1724,1434,3842,5926,1114,100781,98971,93709,2617.95269775391,97820.46875,1887.12835497264,3673.52693353522
2977,9.077,240.19641,Unknown,[M+H]+,adduct linked to 3539_[M+Na]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.07,Orbi_P_E2_EXBLANKA,240.19641:80079 241.19976:17623 242.20312:72996,,288513,36119,31286,2028,0,0,2330,7308,3667,59657.844523112,4434.79793294271,113290.021893372,2576.48110562984
2978,9.829,240.19644,Unknown,[M+H]+,adduct linked to 3540_[M+Na]+; adduct linked to 8617_[2M+NH4]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,3.51,Orbi_P_E2_EXBLANKA,240.19644:45561 241.19979:0 242.20315:0,,124038,11739,10127,2533,0,0,3136,3909,0,24739.3492838542,2348.41943359375,48907.810006317,2070.14093748237
2979,5.687,240.19661,Unknown,[M-C6H10O5+H]+,adduct linked to 2643_[M-C6H8O6+H]+,0.333,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,8.48,Orbi_P_E2_WS03B,240.19604:14722 241.19939:15648 242.20275:0,85.10189:7354 109.10172:8817,1027623,111305,110104,36926,45115,36635,51755,55055,64247,227951.267578125,57018.8854166667,393316.866823682,6473.47444051537
2980,5.354,240.19661,Unknown,[M+H]+,adduct linked to 3542_[M+Na]+; adduct linked to 4635_[M+ACN+Na]+,0.889,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.81,Orbi_P_E2_EXBLANKA,240.19661:217437 241.19996:42723 242.20332:0,,798313,155308,142191,70147,79327,73987,92635,88585,91027,219878.895833333,90748.9322916667,285744.511455523,2038.84530126636
2981,8.149,240.23232,Unknown,[M-C6H10O5+H]+,adduct linked to 7611_[M+CH3OH+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,2.85,Orbi_P_E2_EXBLANKA,240.23232:55443 241.23567:14311 242.23903:0,,151929,30962,39020,3487,8946,2714,33053,11061,30176,39509.745686849,24763.1087239583,57091.4045565646,11953.6001211732
2982,5.634,240.23248,Unknown,[M+Na]+,adduct linked to 2054_[M+H-H2O]+,1,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,54.95,Orbi_P_E2_EXBLANKB,240.23299:230717 241.23634:34166 242.2397:0,109.10186:7457 183.175:32553,895569,765968,930148,844277,909118,872331,1016375,963354,1035302,869568.4375,1005010.35416667,58805.3520672359,37296.2254118302
2983,5.436,240.23248,Unknown,[M+H]+,,0.889,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,15.26,Orbi_P_E2_WS03C,240.23248:73829 241.23583:11920 242.23919:0,,436160,363762,374259,399755,372917,383486,483832,297898,500162,388389.739583333,427297.46875,26384.9135491693,112360.180234612
2984,6.072,240.23288,Unknown,[2M+3H2O+2H]+,adduct linked to 2645_[2M+ACN+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,35.16,Orbi_P_E2_EXBLANKA,240.23288:81073 241.23623:12741 242.23959:8586,,476427,38801,71324,11541,10647,22798,22226,22862,28844,105256.324869792,24644.1608072917,183231.361323611,3651.04171657439
2985,8.457,240.23288,Unknown,[M-C6H10O4+H]+,adduct linked to 8114_[M+DMSO+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,25.74,Orbi_P_E2_EXBLANKA,240.23288:56726 241.23623:10897 242.23959:0,,186347,14716,21746,3780,2302,8368,15526,13745,27591,39543.2317301432,18953.9254557292,72280.5565256812,7533.01186845906
2986,7.861,240.23332,Unknown,[M+H]+,adduct linked to 3804_[M+CH3OH+H]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,10.02,Orbi_P_E2_EXBLANKA,240.23332:28694 241.23667:0 242.24003:12399,,118813,45205,42536,11375,6951,10751,4186,21909,19349,39271.931640625,15148.1176757813,42447.5891261937,9579.36610844197
2987,0.469,240.90315,Unknown,[M+H]+,,0.667,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,16.08,Orbi_P_E2_EXBLANKA,240.90315:34273 241.9065:0 242.90986:0,,140548,129314,57866,103637,121798,118632,24460,33589,18904,111965.882161458,25651.0299479167,29172.2260677988,7414.40978411901
2988,0.467,240.96771,Unknown,[M+NH4]+,adduct linked to 2563_[M+H]+,0.667,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,19.34,Orbi_P_E2_EXBLANKC,240.96771:46284 241.97106:0 242.97442:0,,89605,59013,102725,55242,88167,62985,19570,92103,11794,76289.2578125,41155.7412109375,19675.8624403928,44292.7052726687
2989,0.719,240.97079,Unknown,[2M+K]+,adduct linked to 20_[M+H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,27.11,Orbi_P_E2_Wasteblank6,240.97079:81939 241.97414:6941 242.9775:0,,679504,417298,387808,567216,673768,733679,362817,744209,300498,576545.260416667,469174.90625,145473.447674285,240216.122317997
2990,11.763,241.00221,Unknown,[M+IsoProp+Na+H]+,adduct linked to 1815_[M+CH3OH+H]+,0.889,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,11.05,Orbi_P_E2_EXBLANKC,241.00221:34635 242.00556:0 243.00892:0,,74471,64333,77214,69383,75719,72217,82800,94793,45038,72222.7923177083,74210.23046875,4743.53177696943,25966.2210478818
2991,0.519,241.03156,Unknown,[M+H]+,,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,160.31,Orbi_P_E2_WS03B,241.03156:870707 242.03491:246729 243.03827:76473,,1593,0,0,3487,0,5341,2320246,2898555,1958945,1736.78173828125,2392581.83333333,2241.57955006496,473962.985857172
2992,1.864,241.08356,Unknown,[M+H]+,adduct linked to 4587_[M+IsoProp+H]+,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,3.47,Orbi_P_E2_WS03A,241.08356:25786 242.08691:0 243.09027:81822,,42870,53003,41043,44845,61336,22850,77129,75804,39329,44324.4690755208,64087.1640625,12954.2055281117,21451.4378553929
2993,2.597,241.09517,Unknown,[M+H]+,adduct linked to 8374_[2M+H]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,14.9,Orbi_P_E2_WS03B,241.09517:133698 242.09852:19201 243.10188:3548,,204145,2584,1818,0,0,0,365733,416589,397682,34757.9764404297,393334.739583333,82989.853233042,25705.2309871715
2994,4.686,241.09636,Unknown,[M+K]+,adduct linked to 7516_[2M+Na]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,6.24,Orbi_P_E2_WS03B,241.09636:25040 242.09971:5418 243.10307:0,,10089,4447,1757,3140,2251,1807,72572,61375,57285,3915.05495198568,63744.3190104167,3189.61916771572,7914.06017757625
2995,5.4,241.14149,Unknown,[M+DMSO+H]+,adduct linked to 1724_[M+Na]+,1,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,38.51,Orbi_P_E2_EXBLANKB,241.14192:252625 242.14527:43944 243.14863:23404,60.07505:2880 96.86424:6912,963549,1051499,1220456,1095432,1062230,1094533,1090293,1095782,1145120,1081283.41666667,1110398.25,83494.1334501513,30195.0287648377
2996,2.921,241.14401,Unknown,[M+H]+,adduct linked to 2553_[M+H-H2O]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,2.83,Orbi_P_E2_WS03A,241.14401:40005 242.14736:4925 243.15072:10722,,63281,35066,75122,29618,46702,35049,149768,181571,137806,47473.0091145833,156381.447916667,18121.9785319813,22619.520730839
2997,4.095,241.14433,Unknown,[M+H]+,adduct linked to 3444_[M+NH4]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,13.39,Orbi_P_E2_EXBLANKA,241.14433:133159 242.14768:17916 243.15104:9458,,558502,83279,181991,77508,51641,40649,124227,256179,44009,165595.177083333,141471.951822917,198885.496314945,107131.091812297
2998,0.587,241.15471,Unknown,[M+IsoProp+Na+H]+,adduct linked to 1113_[M+H]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,110.13,Orbi_P_E2_WS03C,241.15471:969922 242.15806:157507 243.16142:0,,0,1761,1754,3484,0,0,1992882,2000461,2191200,1166.44986979167,2061514.20833333,1424.87142307944,112374.892744688
2999,0.814,241.15503,Unknown,[M+IsoProp+Na+H]+,adduct linked to 1116_[M+H]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,31.61,Orbi_P_E2_WS03B,241.15503:274008 242.15838:47003 243.16174:0,,0,0,0,0,0,0,1111569,910363,1324629,0,1115520.3125,0,207161.548884042
3000,1.032,241.15503,Unknown,[M+H]+,,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,18.15,Orbi_P_E2_WS03B,241.15503:169053 242.15838:16098 243.16174:0,,0,0,0,3658,0,2136,871211,948361,847768,965.794026692708,889113.083333333,1571.71089194349,52631.7743459784
3001,4.602,241.17882,Unknown,[M+3ACN+2H]2+,adduct linked to 6680_[M+2H+Na]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,3.45,Orbi_P_E2_EXBLANKA,241.17882:49050 242.18217:11126 243.18553:5860,,178157,139050,125727,98433,128563,169260,125433,140916,103631,139864.91015625,123326.697916667,29581.2431890602,18731.6429026342
3002,11.751,241.17999,Unknown,[M+H]+,,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,3.86,Orbi_P_E2_WS03B,241.17999:31509 242.18334:0 243.1867:0,,39174,27998,41144,57200,50239,71589,101730,165193,117561,47890.6461588542,128161.015625,15303.6989704941,33032.8962896085
3003,6.153,241.18022,Unknown,[M+ACN+2H]2+,adduct linked to 7752_[M+3H]+,0.556,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.94,Orbi_P_E2_WS03B,241.18022:96767 242.18357:18061 243.18693:0,,341011,341529,412301,460289,343788,309630,401645,446727,374141,368091.322916667,407504.458333333,56395.3955760951,36646.0477501914
3004,5.977,241.18047,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.09,Orbi_P_E2_EXBLANKC,241.18047:52917 242.18382:6689 243.18718:7245,,232781,248033,282637,227791,229344,240961,201713,154801,449562,243590.8125,268692.260416667,20594.6755931576,158384.754753377
3005,11.733,241.21638,Unknown,[M+H]+,,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,3.09,Orbi_P_E2_WS03C,241.21638:32663 242.21973:0 243.22309:0,,50738,123292,79109,23381,25170,52607,102126,61171,141262,59049.5501302083,101519.96484375,37577.0497219431,40048.6498687924
3006,1.887,241.2164,Unknown,[M-C6H10O4+H]+,adduct linked to 7474_[M+K]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,1.66,Orbi_P_E2_WS03B,241.2164:29757 242.21975:0 243.22311:0,,78763,60871,45375,91344,77435,90778,200511,101690,77549,74094.3919270833,126583.270833333,17936.1782540286,65151.4841205156
3007,7.714,241.21664,Unknown,[M+H-H2O]+,adduct linked to 9193_[2M+Na]+,0.889,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,14.9,Orbi_P_E2_WS03A,241.21664:85027 242.21999:10863 243.22335:4655,,371598,339104,394187,438691,379330,387330,432091,436424,478392,385040.098958333,448968.84375,32529.0831552453,25573.1891979644
3008,7.874,241.21692,Unknown,[M+Li]+,adduct linked to 5010_[M+IsoProp+Na+H]+; adduct linked to 3901_[M+ACN+H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,13.1,Orbi_P_E2_EXBLANKA,241.21692:122315 242.22027:0 243.22363:14916,,858744,824596,744326,585236,530482,736939,874717,614834,776558,713386.854166667,755369.875,130295.767365448,131230.68078294
3009,0.408,241.21695,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,2.57,Orbi_P_E2_EXBLANKA,241.21695:24825 242.2203:0 243.22366:0,,98300,97516,50228,109854,31591,111576,54633,115283,79572,83177.4309895833,83162.625,33761.3639752079,30483.9707197763
3010,11.779,241.88429,Unknown,[M+H]+,,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,47.5,Orbi_P_E2_EXBLANKC,241.88429:103522 242.88764:16205 243.891:0,,516221,781440,635531,695524,461329,451809,667964,631993,648985,590308.869791667,649647.166666667,134872.786978371,17994.6657834357
3011,0.487,241.88902,Unknown,[M+ACN+H]+,adduct linked to 2057_[M+H]+,0.667,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,90.86,Orbi_P_E2_WS03C,241.88902:332420 242.89237:0 243.89573:38657,,53185,60102,36932,51609,42661,46826,895736,995436,1070284,48552.470703125,987151.875,8208.93095793936,87568.4419783499
3012,0.671,241.94812,Unknown,[M+H]+,,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,11.74,Orbi_P_E2_WS03C,241.94812:17891 242.95147:10005 243.95483:0,,0,0,0,0,0,0,43553,75575,70353,0,63160.3958333333,0,17179.9905555074
3013,0.418,241.99973,Unknown,[M+ACN+H]+,adduct linked to 2059_[M+H]+,0.333,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,821.92,Orbi_P_E2_WS03A,241.99994:814770 243.00329:306972 244.00665:289690,124.66456:2474 200.97318:12403,2385,11129,4756,17365,5984,1791,1882625,2750606,2950101,7234.96838378906,2527777.29166667,5977.39125661762,567552.312287631
3014,0.525,242.02226,Unknown,[M+H]+,,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,115.91,Orbi_P_E2_WS03C,242.02226:136222 243.02561:0 244.02897:0,,0,0,0,0,0,0,191156,257956,282370,0,243827.322916667,0,47219.9893769483
3015,1.606,242.10042,Unknown,[M+ACN+H]+,adduct linked to 7741_[2M+ACN+H]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,13.08,Orbi_P_E2_WS03B,242.10042:62346 243.10377:0 244.10713:0,,1917,0,0,0,0,0,195308,212103,204502,319.487467447917,203971.114583333,782.581274461446,8409.7951525524
3016,5.318,242.11562,Unknown,[M+ACN+H]+,adduct linked to 2548_[M+Na]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.14,Orbi_P_E2_WS03A,242.11562:28119 243.11897:6280 244.12233:11397,,0,0,0,0,0,0,68473,61277,59170,0,62973.14453125,0,4877.72262539596
3017,3.911,242.11624,Unknown,[M+K]+,adduct linked to 2135_[M+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.76,Orbi_P_E2_EXBLANKA,242.11624:55586 243.11959:5135 244.12295:0,,141712,1495,0,0,1344,0,0,1936,0,24091.8810221354,645.258015950521,57626.1860236301,1117.61966761739
3018,2.168,242.13712,Unknown,[M+K]+,adduct linked to 2672_[M+H+Na]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,19.7,Orbi_P_E2_EXBLANKA,242.13712:136727 243.14047:15381 244.14383:25834,,527514,35782,38301,14011,7622,10300,6677,14076,4300,105588.381591797,8351.228515625,207116.081535039,5098.44408229039
3019,2.011,242.13715,Unknown,[M+CH3OH+H]+,adduct linked to 2247_[M+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,18.77,Orbi_P_E2_EXBLANKA,242.13715:113557 243.1405:13724 244.14386:18183,,309744,26056,14486,6661,6218,4524,8925,10716,7048,61281.349202474,8896.078125,121984.433177835,1834.14721959877
3020,9.73,242.13718,Unknown,[2M+ACN+H]+,adduct linked to 15_[M+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.38,Orbi_P_E2_EXBLANKA,242.13718:43865 243.14053:0 244.14389:18786,,145777,32068,50673,44593,14018,30363,14666,39005,71302,52915.3401692708,41657.498046875,47230.8637147378,28410.606362419
3021,2.639,242.13838,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.27,Orbi_P_E2_EXBLANKA,242.13838:45306 243.14173:4723 244.14509:31467,,222299,18083,15639,16167,13263,4751,14884,27168,15534,48367.138671875,19195.3053385417,85337.1688151633,6911.7886308151
3022,3.967,242.13866,Unknown,[M+NH4]+,adduct linked to 8728_[M+NH4]+,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.97,Orbi_P_E2_WS03C,242.13866:69166 243.14201:8245 244.14537:23117,,18754,41241,25873,9127,13416,7200,82607,114996,217062,19268.7814127604,138221.75,12723.333196236,70171.702563812
3023,3.054,242.13893,Unknown,[M+CH3OH+H]+,adduct linked to 2238_[M+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.9,Orbi_P_E2_EXBLANKA,242.13893:36797 243.14228:0 244.14564:26108,,134627,11453,9710,26442,23517,12464,22807,29411,25584,36368.5694986979,25934.3411458333,48623.8006945412,3316.04678641902
3024,3.256,242.13916,Unknown,[M+H]+,adduct linked to 3580_[M+Na]+,0.333,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,18.08,Orbi_P_E2_EXBLANKA,242.13916:544634 243.14251:89353 244.14587:159909,61.58173:2989 81.0192:8859 99.00827:6813 109.02869:8045 133.10176:20865 143.08546:4966 161.09668:33058,1615833,79405,98117,30078,29797,9127,61827,59709,44096,310392.665039063,55210.9296875,640415.943436617,9683.81243667338
3025,3.499,242.17543,Unknown,[M+CH3OH+H]+,adduct linked to 2669_[M+NH4]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,39.11,Orbi_P_E2_WS03A,242.17543:201873 243.17878:30528 244.18214:0,,14528,3319,11355,13273,3791,5534,573944,540504,557570,8633.26232910156,557339.208333333,4999.31248004229,16720.9407313915
3026,4.305,242.17574,Unknown,[M+ACN+H]+,adduct linked to 7442_[2M+Na]+; adduct linked to 3494_[M+H]+,0.778,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.74,Orbi_P_E2_EXBLANKA,242.17574:48194 243.17909:4915 244.18245:14542,,143323,89238,94866,77085,74066,78265,95006,97570,101634,92807.2239583333,98070.0911458333,25995.2219187178,3342.30725789427
3027,4.683,242.17574,Unknown,[M+ACN+Na]+,adduct linked to 1954_[M+NH4]+; similar chromatogram in higher mz_6111,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.64,Orbi_P_E2_EXBLANKA,242.17574:63603 243.17909:8238 244.18245:13500,,188479,18549,14168,2112,13176,3171,18871,7198,30604,39942.5814208984,18891.1118164063,73054.6763756629,11703.0292461942
3028,7.06,242.1759,Unknown,[M+NH4]+,adduct linked to 4758_[M+IsoProp+Na+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.52,Orbi_P_E2_EXBLANKA,242.1759:32812 243.17925:0 244.18261:24135,,92908,1953,7837,2108,4124,5939,2219,2722,4477,19144.9909667969,3139.38321940104,36206.9745169981,1185.54911611491
3029,8.24,242.21165,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.01,Orbi_P_E2_EXBLANKA,242.21165:58510 243.215:0 244.21836:19383,,192351,3898,11437,4438,5426,13044,6443,7602,9886,38432.1999511719,7977.03678385417,75500.9388285563,1751.90010565709
3030,7.342,242.21188,Unknown,[M+H+NH4]2+,adduct linked to 8786_[M+ACN+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,36.55,Orbi_P_E2_EXBLANKA,242.21188:426640 243.21523:85469 244.21859:0,,1410903,15912,6501,3353,2247,0,7640,3743,3960,239819.291259766,5114.43611653646,573738.610825753,2189.94453391307
3031,5.886,242.21201,Unknown,[M+H]+,adduct linked to 3588_[M+Na]+; adduct linked to 4021_[M+K]+,0.111,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,18.87,Orbi_P_E2_EXBLANKA,242.21201:264072 243.21536:40263 244.21872:0,68.00475:2670 85.06551:6139 95.08654:4166 133.10168:2686,831119,61507,69926,1570,1581,2075,7457,6362,9945,161296.438741048,7921.16276041667,329648.95386834,1836.37808167619
3032,8.167,242.21201,Unknown,[M+2H]+,adduct linked to 9240_[2M+ACN+Na]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.05,Orbi_P_E2_EXBLANKA,242.21201:82279 243.21536:12643 244.21872:23371,,241572,7876,15785,11178,5426,5674,13093,7751,3352,47918.6474609375,8065.51481119792,94950.3541145449,4878.1773727565
3033,5.649,242.21213,Unknown,[M+Na]+,adduct linked to 4453_[M+2K-H]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.03,Orbi_P_E2_EXBLANKA,242.21213:102759 243.21548:18501 244.21884:9726,,292974,44867,46180,10651,5664,9516,16433,20673,20635,68308.8221028646,19246.8444010417,111551.969795518,2437.23457817635
