cluster,cluster.size,strength,id,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,Post.curation.result,Fill..,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,Metabolite.name,Blank.1,Blank.2,Blank.3,Blank.4,Blank.5,Blank.6,QC.1,QC.2,QC.3,avg_Blank,avg_QC,sd_Blank,sd_QC,ratio_Blank,rsd_QC,rsd_min,rmd,identified_by_MSDial
103,1,0,pos_2344,pos,2344,1.942,214.10762,[M+H]+,NA,0.111,3.68,Orbi_P_E2_WS03B,214.10762:32806 215.11097:0 216.11433:19013,86.07177:2666 129.8476:2986,Unknown,8.637152e-7,1.25613e-6,8.321184e-7,7.79038e-7,1.699418e-6,2.97621e-6,8.90957e-6,8.093322e-6,8.838948e-6,1.40110500031672e-6,8.61394679911124e-6,8.4740391283256e-7,4.52254641681842e-7,0.08290748199990419,5.25026044656445,5.25026044656445,502.64441779324426,FALSE
104,1,0,pos_2481,pos,2481,1.608,220.11844,[M+2Na-H]+,adduct linked to 750_[M+H-2H2O]+,0.333,70.75,Orbi_P_E2_WS03A,220.11835:309326 221.1217:36678 222.12506:58924,55.96768:2079 72.04536:4922 90.05566:68005 142.08632:4544,Unknown,7.502621e-7,1.52956e-6,6.851978e-7,6.341834e-7,7.455232e-7,1.937441e-6,7.659834e-5,7.761088e-5,7.508043e-5,1.04702796951036e-6,7.6429884453925e-5,5.48818644234977e-7,1.27360674787415e-6,0.00721041148556226,1.6663727244569255,1.6663727244569255,538.073956911527,FALSE
105,1,0,pos_2489,pos,2489,5.314,220.13364,[M+2ACN+H]+,adduct linked to 694_[M+H]+; similar chromatogram in higher mz_10993,0.333,86.07,Orbi_P_E2_WS03A,220.13374:362372 221.13709:57926 222.14045:0,81.06621:2972 96.86594:3212 109.06533:54992,Unknown,2.94808e-6,2.352308e-6,2.485629e-6,2.862498e-6,3.181764e-6,2.559268e-6,8.973406e-5,9.402294e-5,9.439162e-5,2.73159124238494e-6,9.27162036532536e-5,3.16451783336812e-7,2.58918452291873e-6,0.01661222055822418,2.792591177052438,2.792591177052438,607.0857684450862,FALSE
106,1,0,pos_2501,pos,2501,0.888,221.09242,[M+H]+,adduct linked to 3053_[M+Na]+,0.333,28.9,Orbi_P_E2_WS03B,221.09242:309957 222.09577:36071 223.09913:0,61.57287:3647 130.0652:16938 158.06026:30284 186.05449:3685,Unknown,0,0,0,0,0,0,6.695321e-5,7.646829e-5,6.236125e-5,0,6.85942504787818e-5,0,7.19527041589486e-6,0,10.489611542764166,10.489611542764166,418.0152354386648,FALSE
107,1,0,pos_254,pos,254,1.241,116.07108,[M+H]+,adduct linked to 4185_[2M+3H2O+2H]+; similar chromatogram in higher mz_4167,0.333,88.53,Orbi_P_E2_WS03A,116.07116:719239 117.07451:44576 118.07787:5745229,70.06603:20186 74.93829:9818 99.0447:6923,Unknown,2.417542e-5,5.619663e-5,5.092789e-5,6.043544e-5,6.041073e-5,5.917292e-5,1.781051e-4,1.840712e-4,2.845789e-4,5.18865056922853e-5,2.15585057352049e-4,1.4044491797818e-5,5.98248751632095e-5,0.1209877643454504,27.75001008790506,27.75001008790506,612.3833774958838,FALSE
108,1,0,pos_2554,pos,2554,1.895,223.13327,[M+Li]+,adduct linked to 2407_[M+H]+,0.333,43.91,Orbi_P_E2_WS03A,223.13332:392851 224.13667:148965 225.14003:18116,81.07068:3209 107.08581:5082 135.08066:8511 143.07028:3840 159.11678:9284,Unknown,1.97805e-6,4.65412e-6,3.447611e-6,3.827465e-6,3.278271e-6,3.349951e-6,9.728163e-5,1.002857e-4,9.846022e-5,3.42257813675436e-6,9.86758507982207e-5,8.71093126417152e-7,1.51360572516123e-6,0.01789610104225075,1.5339170758774172,1.5339170758774172,597.2663780708731,FALSE
109,1,0,pos_256,pos,256,0.81,116.07111,[M+Li]+,adduct linked to 169_[M+H]+,0.333,51.55,Orbi_P_E2_WS03A,116.07111:768010 117.07446:48938 118.07782:5891354,61.08927:2964 92.94881:5273,Unknown,2.786707e-5,5.678383e-5,5.155388e-5,6.363319e-5,5.927121e-5,6.219524e-5,1.901822e-4,1.922117e-4,1.732319e-4,5.35507366900371e-5,1.85208627954125e-4,1.32905833963762e-5,1.04216398172539e-5,0.1462423057902777,5.6269731774241505,5.6269731774241505,612.6416814658224,FALSE
110,1,0,pos_2602,pos,2602,2.574,225.1489,[M+NH4]+,adduct linked to 2976_[M+CH3OH+H]+,0.333,22.85,Orbi_P_E2_WS03A,225.14899:239082 226.15234:30001 227.1557:35092,61.58523:2883 121.10166:2828,Unknown,2.347907e-6,4.790525e-6,4.875163e-6,4.833471e-6,5.104048e-6,5.267825e-6,5.920376e-5,6.043845e-5,5.940108e-5,4.53648973082939e-6,5.96811005380005e-5,1.0875936797805e-6,6.63266738773264e-7,0.0385673759616703,1.1113513872803753,1.1113513872803753,661.3401175843968,FALSE
111,1,0,pos_2720,pos,2720,0.936,229.15488,[M+H]+,NA,0.333,35.8,Orbi_P_E2_WS03A,229.15494:392269 230.15829:43158 231.16165:7485,75.6611:2261 111.0443:4849 142.086:13979,Unknown,3.910798e-7,0,0,0,0,0,9.713746e-5,1.113567e-4,9.159355e-5,6.51799704579995e-8,1.0002923712212e-4,1.5965766907178e-7,1.01939883076408e-5,6.972742113552685e-4,10.191008749967311,10.191008749967311,675.8747620822714,FALSE
112,1,0,pos_2777,pos,2777,2.36,232.19119,[M+2ACN+H]+,adduct linked to 1426_[M+Na]+,0.333,30.97,Orbi_P_E2_WS03A,232.19118:187426 233.19453:29788 234.19789:0,74.07253:2222 161.1317:2601 196.16971:7256,Unknown,3.818613e-7,6.547556e-7,5.414639e-7,8.68115e-7,8.725132e-7,6.938345e-7,4.641229e-5,4.643744e-5,4.119749e-5,6.68757247505406e-7,4.46824039196751e-5,1.90051471388167e-7,3.01804962159867e-6,0.00761053576043169,6.754447739705709,6.754447739705709,823.4162545099406,FALSE
113,1,0,pos_2848,pos,2848,5.499,235.16908,[M+Na]+,adduct linked to 1556_[M+H-2H2O]+,1,21.72,Orbi_P_E2_WS03A,235.16898:338743 236.17233:73152 237.17569:9519,61.0941:2777 67.05518:7694 81.07067:4666,Unknown,2.882396e-5,6.910303e-5,7.052015e-5,8.192448e-5,7.917052e-5,8.546519e-5,8.388285e-5,8.954683e-5,9.152028e-5,6.91678863707542e-5,8.83166527880045e-5,2.0774266865145e-5,3.96454043224213e-6,0.3879511543701575,4.489006667585809,4.489006667585809,718.9720689471936,FALSE
114,1,0,pos_2870,pos,2870,3.608,236.10405,[M+K]+,adduct linked to 2488_[M+Na]+,0.667,5.77,Orbi_P_E2_EXBLANKA,236.10405:29570 237.1074:10489 238.11076:5447,57.20486:2265 77.91331:2386 145.73581:2509,Unknown,6.90016e-6,5.4531e-6,4.750465e-6,1.281168e-5,7.669614e-6,1.212653e-5,6.209925e-6,6.724491e-6,6.782894e-6,8.28525874870441e-6,6.57243678385081e-6,3.40755865152655e-6,3.15299343434334e-7,0.6680483528918798,4.797297468254981,4.797297468254981,440.6955323299235,FALSE
115,1,0,pos_2930,pos,2930,2.848,238.10788,[M+ACN+Na]+,adduct linked to 2185_[M+CH3OH+H]+,0.333,45.8,Orbi_P_E2_WS03A,238.10788:228102 239.11123:38505 240.11459:4794,61.57543:2482 121.06525:89151 124.45531:2970 132.7271:2373 164.07092:37573 178.68181:2083 194.45943:2301,Unknown,1.355051e-6,4.26484e-7,4.077133e-7,4.79828e-7,0,0,5.648488e-5,5.077333e-5,3.402579e-5,4.44845999444018e-7,4.70946688437834e-5,4.9541664618808e-7,1.16727088804315e-5,0.00730312051663296,24.78562683846608,24.78562683846608,453.07194369205433,FALSE
116,1,0,pos_3225,pos,3225,1.38,250.03897,[M+H]+,adduct linked to 3372_[M+Li]+; adduct linked to 4233_[M+K]+,0.333,107.56,Orbi_P_E2_WS03A,250.03894:363343 251.04229:33365 252.04565:0,165.02184:2475 178.05386:5617 196.06415:5072 222.0441:52925,Unknown,0,0,0,0,0,0,8.997456e-5,1.065657e-4,1.024669e-4,0,9.96690505417064e-5,0,8.64219485382709e-6,0,8.670891121021338,8.670891121021338,155.8557052126961,FALSE
117,1,0,pos_3260,pos,3260,1.387,251.13933,[M+Na]+,adduct linked to 3164_[M+H+NH4]+,0.333,23.42,Orbi_P_E2_WS03A,251.13928:328223 252.14263:82039 253.14599:11969,61.57439:4671 72.08163:29156 89.10808:34613 116.99508:2849,Unknown,0,0,0,0,0,0,8.127789e-5,8.712617e-5,7.880809e-5,0,8.24040519849708e-5,0,4.27186021794066e-6,0,5.184041457961048,5.184041457961048,554.7916369769764,FALSE
118,1,0,pos_3261,pos,3261,1.635,251.1395,[M+NH4]+,adduct linked to 2819_[M+H]+,0.333,128.91,Orbi_P_E2_WS03A,251.13945:1798293 252.1428:339116 253.14616:50096,98.98474:42616,Unknown,0,0,0,0,0,6.527538e-7,4.453112e-4,4.633582e-4,4.509942e-4,1.08792297244994e-7,4.53221223627528e-4,2.6648561619543e-7,9.2273019434565e-6,1.0137654712271156e-4,2.0359377413092634,2.0359377413092634,555.4681760535407,FALSE
119,1,0,pos_3434,pos,3434,0.53,258.11038,[2M+ACN+H]+,adduct linked to 2817_[2M+NH4]+; adduct linked to 951_[M+ACN+H]+,0.333,3393.21,Orbi_P_E2_WS03A,258.11023:19113810 259.11358:1895282 260.11694:355966,86.09713:372955 104.10755:7859258 240.09981:25449,Unknown,3.732023e-6,7.100797e-6,1.012804e-5,4.743672e-6,6.716141e-6,4.810259e-6,0.004733152,0.005212199,0.005352245,6.2051550836865e-6,0.00509919878095388,2.30869429808983e-6,3.24647192424965e-4,6.395419040709195e-4,6.366631433109871,6.366631433109871,427.6464975954108,FALSE
120,1,0,pos_3471,pos,3471,9.454,259.20609,[M+H]+,NA,0.333,36.59,Orbi_P_E2_WS03A,259.20609:247123 260.20944:61429 261.2128:0,109.10213:2538 159.11768:4250 226.67366:2569 259.20624:6140,Unknown,0,0,0,8.496199e-7,0,0,6.119509e-5,6.592328e-5,6.501784e-5,1.41603322845185e-7,6.40454042392472e-5,3.46855886853296e-7,2.50961724281149e-6,9.370557344702844e-4,3.9184969985302858,3.9184969985302858,795.0816279047202,FALSE
121,1,0,pos_3505,pos,3505,0.81,261.0947,[M+2Na-H]+,adduct linked to 2415_[M+H]+,0.333,828.93,Orbi_P_E2_WS03A,261.09494:4319936 262.09829:557793 263.10165:145112,99.04459:3653 237.90848:10495,Unknown,0,0,0,0,0,0,0.0010697460000000001,0.00109001,0.001152313,0,0.00110402299712102,0,4.30304024872388e-5,0,3.897600194873651,3.897600194873651,362.7036473738797,FALSE
122,1,0,pos_3534,pos,3534,0.585,262.1286,[2M+ACN+Na]+,adduct linked to 761_[M+ACN+H]+,0.333,504.67,Orbi_P_E2_WS03C,262.1286:2261124 263.13195:345129 264.13531:0,69.03429:16945 72.08157:163300 96.8629:3230 114.0918:13220 118.08657:122308 160.09692:7874 180.10223:9974 216.03261:4015 244.11798:308611,Unknown,1.671133e-6,6.463351e-7,2.127433e-6,1.994045e-6,1.404976e-6,1.424922e-6,5.299503e-4,5.001693e-4,5.782821e-4,1.54480738009018e-6,5.36133903854837e-4,5.28848493346167e-7,3.9421772836639e-5,0.00163104374673808,7.3529714411257965,7.3529714411257965,490.5988892475137,FALSE
123,1,0,pos_3602,pos,3602,0.418,265.01572,[M+H]+,adduct linked to 4619_[M+K]+; adduct linked to 5630_[M+2K-H]+,0.333,92.5,Orbi_P_E2_WS03A,265.01599:265096 266.01934:117647 267.0227:88841,135.70572:2234,Unknown,3.467676e-7,1.648467e-6,5.767949e-7,7.095587e-7,1.178097e-6,1.329594e-6,6.564568e-5,9.513503e-5,1.064718e-4,9.64879897461894e-7,8.90841717288519e-5,4.98724598567299e-7,2.1074929529929e-5,0.00532468839143901,23.657322194200084,23.657322194200084,59.31723597372836,FALSE
124,1,0,pos_3613,pos,3613,2.094,265.155,[2M+K]+,adduct linked to 230_[M+H]+,0.444,82.1,Orbi_P_E2_WS03A,265.15512:940168 266.15847:173148 267.16183:25830,66.082:2193 105.81733:2745 145.02896:20301,Unknown,4.60944e-6,0,0,0,0,0,2.328138e-4,2.26467e-4,2.424848e-4,7.68240018563423e-7,2.33921838419822e-4,1.88179604546666e-6,8.06619262690849e-6,0.0035195152498497,3.4482426614790915,3.4482426614790915,584.5637457335247,FALSE
125,1,0,pos_3614,pos,3614,1.859,265.15512,[M-C6H10O4+H]+,adduct linked to 7320_[M+Li]+,0.333,34.48,Orbi_P_E2_WS03A,265.15512:300558 266.15847:57559 267.16183:13732,145.02853:3342,Unknown,0,0,0,0,7.253747e-7,0,7.442728e-5,7.389527e-5,7.308374e-5,1.20895786418866e-7,7.38020971766673e-5,2.96132988778717e-7,6.76596386608222e-7,7.093301418844286e-4,0.916771219913422,0.916771219913422,585.0160464561679,FALSE
126,1,0,pos_3617,pos,3617,6.652,265.15878,[M+K]+,adduct linked to 8542_[2M+K]+,0.333,30.93,Orbi_P_E2_WS03A,265.15878:276101 266.16213:49181 267.16549:39683,100.07638:3534 135.08051:13690 171.08086:53437 209.09622:9309,Unknown,5.936871e-7,1.245048e-6,7.836625e-7,6.10811e-7,6.519099e-7,0,6.837083e-5,6.786555e-5,6.234705e-5,6.4751970777858e-7,6.61944747359181e-5,3.99780229630693e-7,3.34153367147494e-6,0.00549080677501617,5.048055271691392,5.048055271691392,598.8110218337059,FALSE
127,1,0,pos_3641,pos,3641,4.874,266.17288,[M+Na]+,adduct linked to 3089_[M+H]+,1,216.16,Orbi_P_E2_EXBLANKA,266.17355:877176 267.1769:155089 268.18026:10203,249.1857:6200,Unknown,2.046885e-4,4.092231e-4,3.956694e-4,3.820571e-4,3.924699e-4,3.943639e-4,4.747411e-4,5.240611e-4,5.464521e-4,3.63078659574967e-4,5.15084781606371e-4,7.80790528978021e-5,3.66885170158737e-5,0.3620604207549039,7.122811297482897,7.122811297482897,649.5026841202625,FALSE
128,1,0,pos_3678,pos,3678,1.162,268.1044,[M+H]+,adduct linked to 4280_[M+Na]+,0.333,388.95,Orbi_P_E2_WS03A,268.10443:2858546 269.10778:312981 270.11114:30602,73.02904:3064 115.03976:4074 136.04034:6734,Unknown,2.322683e-6,2.545688e-6,6.824044e-7,2.850934e-6,1.055365e-6,1.173339e-6,7.078618e-4,7.399743e-4,6.971479e-4,1.77173567787274e-6,7.14994637140383e-4,9.08308451307853e-7,2.2286392680931e-5,0.00145320677177162,3.1170013764110593,3.1170013764110593,389.4005469511066,FALSE
129,1,0,pos_369,pos,369,0.92,123.05576,[M+NH4]+,adduct linked to 3191_[2M+K]+,0.333,479.19,Orbi_P_E2_WS03A,123.05576:4442819 124.05911:329975 125.06247:89896,78.03468:5010 106.02928:13014 123.05567:1121222,Unknown,8.255856e-6,1.520978e-5,1.896494e-5,2.434222e-5,1.849283e-5,1.872522e-5,0.001100175,0.001179673,0.001042295,1.73318089764507e-5,0.00110738099707911,5.32876274359831e-6,6.89720021631955e-5,0.00784015273582406,6.228389537577392,6.228389537577392,453.12791534509614,FALSE
130,1,0,pos_3835,pos,3835,0.587,274.09204,[M+ACN+Na]+,adduct linked to 2265_[M+H]+,0.333,685.55,Orbi_P_E2_WS03A,274.09225:2277332 275.0956:348185 276.09896:89787,72.21017:2512 84.04505:5076 164.06987:3342 226.0696:5959,Unknown,1.890179e-6,4.167479e-6,2.641271e-6,2.900035e-6,3.023249e-6,2.839257e-6,5.639357e-4,5.674036e-4,5.924116e-4,2.91024521933044e-6,5.74583633958052e-4,7.3640109065886e-7,1.5536540151102e-5,0.00265084125596979,2.7039649639996983,2.7039649639996983,335.79960950342536,FALSE
131,2,0,pos_531,pos,531,0.809,130.05025,[M+IsoProp+H]+,adduct linked to 114_[M+K]+; found in higher mz's MsMs_3836,0.444,727.2,Orbi_P_E2_WS03A,130.05025:8166865 131.0536:658251 132.05696:290813,70.06596:6635 130.05022:127202,Unknown,2.559372e-5,4.92384e-5,5.385449e-5,5.158514e-5,4.689773e-5,4.972194e-5,0.00202236,0.002030151,0.001997055,4.61485700119132e-5,0.00201652206790944,1.03374717406082e-5,1.7303525351134e-5,0.01173155526687207,0.8580875769474141,0.8580875769474141,386.3891072874174,FALSE
131,2,0,pos_3836,pos,3836,0.808,274.09244,[M+ACN+Na]+,adduct linked to 2264_[M+H]+,0.333,542.78,Orbi_P_E2_WS03A,274.09244:1738009 275.09579:295546 276.09915:39951,81.03431:5735 97.02905:219210 114.05545:21132 180.06645:6494 210.07649:11556 226.07121:50269,Unknown,0,0,0,0,0,0,4.303831e-4,4.655274e-4,4.716017e-4,0,4.55837366947283e-4,0,2.22523281751569e-5,0,4.881637572667524,4.881637572667524,337.258481116847,FALSE
132,2,5.662193533774985e-4,pos_3854,pos,3854,0.882,275.11041,[M+ACN+H]+,adduct linked to 4387_[M+IsoProp+H]+; adduct linked to 2814_[M+H]+,0.333,50.76,Orbi_P_E2_WS03A,275.11053:316202 276.11388:49239 277.11724:10649,226.89346:3305,Unknown,0,0,0,0,0,0,7.830108e-5,9.409405e-5,8.223648e-5,0,8.48772057603734e-5,0,8.22098090586317e-6,0,9.68573462358406,9.68573462358406,401.32977883316624,FALSE
132,2,5.662193533774985e-4,pos_4387,pos,4387,0.866,294.15518,[M+IsoProp+H]+,adduct linked to 3854_[M+ACN+H]+,0.333,218.09,Orbi_P_E2_WS03A,294.15509:796648 295.15844:123355 296.1618:15540,72.1841:2389 86.09726:24991 127.03915:7123 193.96645:2449 212.12831:11379 230.11722:5097 230.13899:79577 258.13394:62973,Unknown,0,0,0,0,0,0,1.972738e-4,2.137257e-4,2.034777e-4,0,2.0482574958199e-4,0,8.30834826964823e-6,0,4.056300678310209,4.056300678310209,527.5446789683358,FALSE
133,4,0,pos_4086,pos,4086,1.202,282.15512,[M+H]+,adduct linked to 5741_[M+ACN+Na]+; similar chromatogram in higher mz_4996; similar chromatogram in higher mz_6087,0.333,79.62,Orbi_P_E2_WS03A,282.1553:517781 283.15865:60487 284.16201:0,69.03446:3724 85.02914:39058 109.02868:4853,Unknown,0,0,0,0,0,0,1.282181e-4,1.411876e-4,1.355617e-4,0,1.3498916329505e-4,0,6.50367006860532e-6,0,4.817920127699292,4.817920127699292,549.7685103145064,FALSE
133,4,0,pos_4214,pos,4214,1.202,287.11047,[M+Na]+,adduct linked to 4624_[M+K]+,0.333,74.42,Orbi_P_E2_WS03A,287.1105:403105 288.11385:52304 289.11721:7882,67.77441:2479 109.34267:2600,Unknown,0,0,0,0,0,0,9.982091e-5,1.089327e-4,1.044974e-4,0,1.04417030039864e-4,0,4.55644217163805e-6,0,4.363696391190696,4.363696391190696,384.7647910576745,FALSE
134,1,0,pos_3856,pos,3856,1.054,275.11053,[M+Na]+,adduct linked to 2413_[M+H-2H2O]+,0.333,269.14,Orbi_P_E2_WS03A,275.1105:1076106 276.11385:129307 277.11721:17857,226.89307:5099,Unknown,0,0,0,0,0,0,2.664762e-4,2.70811e-4,2.533347e-4,0,2.63540617500742e-4,0,9.100454967847e-6,0,3.45315080997766,3.45315080997766,401.7657920981175,FALSE
135,1,0,pos_3867,pos,3867,6.21,275.20117,[M+H]+,adduct linked to 3423_[M+H-H2O]+,0.333,14.42,Orbi_P_E2_WS03B,275.20117:215138 276.20452:44767 277.20788:10422,91.47417:2537 121.10169:3000 133.10155:2836 135.08101:4761 157.10162:4688 275.1459:5388,Unknown,4.321832e-6,1.934612e-6,1.714659e-6,1.847257e-6,1.483727e-6,5.769734e-7,4.387029e-5,5.307594e-5,4.800539e-5,1.97984333757025e-6,4.83172079839278e-5,1.24812132913096e-6,4.61074173636728e-6,0.02797966396688063,9.542649355693303,9.542649355693303,730.9925317541002,FALSE
136,1,0,pos_3920,pos,3920,0.81,277.0686,[M+NH4]+,adduct linked to 3478_[M+H]+,0.333,142.73,Orbi_P_E2_WS03A,277.06888:1284569 278.07223:175945 279.07559:93746,215.90215:3803 253.8806:9486,Unknown,0,0,0,0,0,0,3.180977e-4,3.2851e-4,3.414821e-4,0,3.29363295653214e-4,0,1.17155145448512e-5,0,3.55701886016663,3.55701886016663,247.59211256708105,FALSE
137,1,0,pos_3934,pos,3934,5.901,277.18042,[M+DMSO+H]+,adduct linked to 2019_[M+H]+; adduct linked to 2504_[M+Na]+,0.333,17.09,Orbi_P_E2_WS03B,277.18042:203983 278.18377:41330 279.18713:13194,57.07086:13944 81.07067:3936 111.0444:11772,Unknown,2.368766e-6,4.121775e-6,5.551336e-6,4.112968e-6,5.273278e-6,5.143258e-6,4.423485e-5,5.032386e-5,4.518974e-5,4.42856367044442e-6,4.65828173522217e-5,1.17655740698156e-6,3.27482470477426e-6,0.04852026370055466,7.030113013587556,7.030113013587556,650.9117779676733,FALSE
138,2,0,pos_3946,pos,3946,7.184,277.2168,[2M+K]+,found in higher mz's MsMs_4395; adduct linked to 783_[M+Na]+,0.667,95.74,Orbi_P_E2_EXBLANKA,277.21695:778259 278.2203:165520 279.22366:77813,67.05521:10278 81.07068:10854 93.07072:9973 119.08605:8389 125.09648:16754 133.10158:8859 147.11751:4647 149.13245:8385 175.14839:3531,Unknown,1.816063e-4,1.855317e-5,1.484299e-5,2.88587e-6,2.005977e-6,3.06742e-6,4.051233e-4,3.888897e-4,3.592144e-4,3.71602879643736e-5,3.84409126127139e-4,7.11081182307801e-5,2.32800766862196e-5,0.09293763945501038,6.05606763834217,6.05606763834217,782.0593845682438,FALSE
138,2,0,pos_3935,pos,3935,7.197,277.18045,[M+DMSO+H]+,adduct linked to 2503_[M+Na]+,0.222,27.66,Orbi_P_E2_WS03A,277.18045:245443 278.1838:55574 279.18716:9172,57.07084:4451 67.05517:15734 69.07088:15271 91.05495:5986 107.08599:44919 119.08591:9955 133.10164:16957 147.11754:12434 231.1754:5254,Unknown,1.042633e-6,6.876236e-6,6.036036e-6,7.937992e-6,7.807972e-6,8.79389e-6,6.07791e-5,6.004473e-5,5.592413e-5,6.41579305238338e-6,5.8915985088485e-5,2.79777279772959e-6,2.61691022529528e-6,0.05087833480691298,4.441766052735914,4.441766052735914,651.0199402591617,FALSE
139,3,0,pos_3945,pos,3945,7.316,277.2168,[M+H]+,adduct linked to 4396_[M+NH4]+; adduct linked to 5569_[M+IsoProp+Na+H]+,0.667,82.64,Orbi_P_E2_EXBLANKA,277.21701:720121 278.22036:130814 279.22372:63124,55.05534:5670 67.05516:19859 89.06052:12266 105.07063:11523 107.08634:15550 133.10146:15371 135.1176:13931 175.149:5320 193.15889:19572 241.19537:3970,Unknown,1.680399e-4,1.587154e-5,1.631177e-5,3.428567e-6,2.809064e-6,2.277129e-6,3.282141e-4,3.264124e-4,3.193852e-4,3.47896602003554e-5,3.24670555225263e-4,6.56022801847805e-5,4.66507219998194e-6,0.1024758513451762,1.436863344982183,1.436863344982183,782.0593845682438,FALSE
139,3,0,pos_8950,pos,8950,7.318,520.34113,[M+H]+,adduct linked to 9166_[M+NH4]+; similar chromatogram in higher mz_10459,0.333,57.51,Orbi_P_E2_WS03A,520.34113:307143 521.34448:93317 522.34784:24381,86.09727:10621 125.00014:2766,Unknown,1.786514e-6,2.965687e-6,3.73137e-6,2.818489e-6,4.477359e-6,3.674064e-6,7.605783e-5,6.806169e-5,7.1868e-5,3.24224712737002e-6,7.19958431242655e-5,9.30206616588505e-7,3.99960221981391e-6,0.02301386137164919,5.555323816280002,5.555323816280002,655.5891516782865,FALSE
140,1,0,pos_398,pos,398,2.708,124.07623,[M+DMSO+H]+,adduct linked to 489_[M+2ACN+H]+; similar chromatogram in higher mz_9883,0.333,11.24,Orbi_P_E2_WS03A,124.07623:516189 125.07958:314944 126.08294:20319,55.05517:5499 79.05508:20077 81.07074:16944 106.06583:8707,Unknown,1.368174e-6,3.238762e-6,3.390932e-6,4.416849e-6,4.89387e-6,4.865484e-6,1.278239e-4,1.253185e-4,1.074646e-4,3.69567845837082e-6,1.20202307395327e-4,1.34485031853503e-6,1.11020914954576e-5,0.01497598580982457,9.236171697556951,9.236171697556951,614.3803692294274,FALSE
141,1,0,pos_40,pos,40,0.505,104.10766,[M+H]+,adduct linked to 2187_[2M+H]+,0.556,21655.34,Orbi_P_E2_WS03A,104.10761:213162304 105.11096:15615353 106.11432:643870,60.08171:28623278 104.09335:509062,Unknown,1.465245e-5,3.464519e-5,4.185161e-5,3.692263e-5,3.413004e-5,3.237889e-5,0.05278537,0.05647029,0.05631015,3.24301348276398e-5,0.0551886049409707,9.30367201555576e-6,0.00208279834385898,2.958793219113815e-4,3.773964473439264,3.773964473439264,1034.1217927671764,FALSE
142,1,0,pos_4013,pos,4013,0.525,280.09241,[2M+ACN+Na]+,adduct linked to 2817_[2M+NH4]+,0.333,5195.58,Orbi_P_E2_WS03A,280.09232:12938366 281.09567:1510402 282.09903:287152,60.41841:13624 86.09712:369362 221.01875:3343642,Unknown,6.214833e-7,1.323001e-6,1.400674e-6,7.382608e-7,8.624278e-7,7.553407e-7,0.003203927,0.003274011,0.003150894,9.50197962386786e-7,0.00320961054724952,3.28802166281676e-7,6.1755005235851e-5,1.5719280740114427e-4,1.9240653757438588,1.9240653757438588,329.92682664972097,FALSE
143,1,0,pos_4016,pos,4016,0.805,280.13925,[M+DMSO+H]+,adduct linked to 2082_[M+H]+,0.333,367.5,Orbi_P_E2_WS03A,280.13953:1391371 281.14288:247232 282.14624:53240,69.03432:3559 114.09187:4036 118.08672:67891 161.06827:4377 198.11258:26588,Unknown,0,0,0,0,0,0,3.445452e-4,3.670944e-4,3.874115e-4,0,3.66350393354272e-4,0,2.14428214976975e-5,0,5.853090889672292,5.853090889672292,497.07422290880015,FALSE
144,3,0.02171046777807437,pos_4702,pos,4702,3.916,306.11066,[M+Na]+,adduct linked to 4133_[M+H]+,0.333,197.75,Orbi_P_E2_WS03A,306.11066:749899 307.11401:200903 308.11737:22356,60.08849:4914 60.09158:8090 70.01231:2300 82.33353:2833 84.64333:2882 96.86316:3292 96.86844:2918 121.63527:2398 122.10278:2112 124.45631:2336 134.87982:2416 306.10986:14431,Unknown,0,0,0,0,0,0,1.856975e-4,1.789992e-4,1.75203e-4,0,1.79966567278219e-4,0,5.31370255628394e-6,0,2.9526053847930713,2.9526053847930713,361.5032550646742,FALSE
144,3,0.03552622000048533,pos_4133,pos,4133,3.916,284.12872,[M+H]+,adduct linked to 4702_[M+Na]+; adduct linked to 5108_[M+K]+; similar chromatogram in higher mz_10982; similar chromatogram in higher mz_10747,0.333,168.18,Orbi_P_E2_WS03A,284.12872:1044658 285.13207:257927 286.13543:34640,118.49526:2850 121.0652:106370,Unknown,0,0,0,0,0,0,2.586888e-4,2.51625e-4,2.413027e-4,0,2.50538815938247e-4,0,8.74379304532435e-6,0,3.489995357637328,3.489995357637328,453.0341036977433,FALSE
145,1,0,pos_4206,pos,4206,3.196,287.05469,[M+2K-H]+,adduct linked to 8082_[2M+ACN+H]+; similar chromatogram in higher mz_10499,0.333,35.36,Orbi_P_E2_WS03A,287.05493:193028 288.05828:36985 289.06164:6193,68.52636:2569 287.05533:167344,Unknown,0,0,0,0,0,0,4.77994e-5,4.817388e-5,5.045368e-5,0,4.88089838957724e-5,0,1.43660293017166e-6,0,2.943316609990096,2.943316609990096,190.5211860499255,FALSE
146,1,0,pos_4215,pos,4215,1.421,287.11053,[M+Na]+,adduct linked to 4088_[M+NH4]+,0.333,88.66,Orbi_P_E2_WS03A,287.11053:545304 288.11388:69278 289.11724:34414,69.59258:2458 180.37704:2258,Unknown,0,0,0,0,0,0,1.350337e-4,1.342188e-4,1.254704e-4,0,1.31574323556075e-4,0,5.30182256726516e-6,0,4.029526752615683,4.029526752615683,384.9736894010224,FALSE
